,details,location
220,"Arenal Volcano National Park (Spanish: Parque Nacional Volcn Arenal) is a Costa Rican national park in the central part of the country, forming the Arenal Tilaran Conservation Area. The park encompasses the Arenal Volcano, which ""was"" the most active in the country, which had previously been believed to be dormant until a major eruption in 1968. It neighbors Lake Arenal, which is the site of the country's largest hydroelectricity project, the Lake Arenal Dam. The park also contains a second volcano, Chato, whose crater contains a lagoon. It is also called Cerro Chato (literally Mount Chato) as it has been inactive for around 3500 yearscoinciding with the creation and growth of Arenal itself. In and around the park are various lodges and hotels, some with their own hot springs, and others focused on the wildlife of the area. Within the national park are the Museum of Volcanicity and a ranger station. The park lies within the 2,040 square kilometres (790 sq mi) Arenal Tilaran Conservation Area, protecting eight of Costa Rica's 12 life zones and 16 protected reserves in the region between the Guanacaste and Tilarn mountain ranges, and including Lake Arenal. The park is most directly accessed from La Fortuna, but is also easily accessed via Tilarn and the north shore of Lake Arenal. The Arenal Volcano National Park is popular with birders, as most of the 850 species identified in Costa Rica can be found within the park's borders. This includes one of the country's most elusive and beautiful birds, the endangered resplendent quetzal. Other animal species living within the park include white-faced capuchin monkeys, jaguar, deer, coati, and snakes like the fer-de-lance and parrot snake. The park also has a strong showing of plant life, including orchids, heliconias, ferns, laurel, cirri, guayabo de monte, palms, bromeliads, and strangler figs.",Arenal Volcano National Park Costa Rica
221,"Corcovado National Park (Spanish: Parque Nacional Corcovado) is a National Park on the Osa Peninsula in Osa (canton), southwestern Costa Rica (9 North, 83 West), which is part of the Osa Conservation Area. It was established on 24 October 1975, and encompasses an area of 424 square kilometres (164 sq mi). It is the largest park in Costa Rica and protects about a third of the Osa Peninsula. It is widely considered the crown jewel in the extensive system of national parks and biological reserves spread across the country. The ecological variety is quite stunning. National Geographic has called it ""the most biologically intense place on Earth in terms of biodiversity"". Not only is the park very popular with tropical ecologists, a visitor can expect to see an abundance of wildlife. One should come well prepared though (see below). The park conserves the largest primary forest on the American Pacific coastline and one of the few remaining sizable areas of lowland tropical rainforests in the world. Historically, logging has taken place in lowland areas because those areas are more easily accessible and contain the largest and most economically valuable trees. But those habitats, which feature diverse vegetation, are also usually the richest in biodiversity. So even though approximately half the tropical rainforests on Earth remain, what is left of the originally rich lowland tropical rainforests is usually in too small an area to support the original natural biodiversity. Larger animals, especially, need a large habitat free of human activity. Unfortunately this means that even tourism, the economic incentive for Costa Rica and other developing nations to preserve and protect parks such as Corcovado, actually threatens the long-term biodiversity of the park.  Corcovado is home to a sizable population of the endangered Baird's tapir and even a small population of the very rare harpy eagle. The park's rivers and lagoons are home to populations of both the American crocodile and spectacled caiman, along with bull sharks. Corcovado is also one of the final strongholds of the jaguar within Central America and several other felines are also present, including ocelot, margay, jaguarundi, and puma. All four Costa Rican monkey species can be seen within the park, including the endangered Central American squirrel monkey, white-faced capuchin, mantled howler, and Geoffroy's spider monkey. Other mammals present include two-toed and three-toed sloth, collared peccary, northern tamandua and silky anteater. Poison dart frogs and several species of snake (including the venomous fer-de-lance and bushmaster) are also common within the park. The abundance in wildlife can in part be explained by the variety of vegetation types, at least 13, including montane forest (more than half the park), cloud forest, jolillo forest (palm swamp), prairie forest, alluvial plains forest, swamp forest, freshwater herbaceous swamp and mangrove, together holding over 500 tree species, including purple heart, poponjoche, nargusta, banak, cow tree, espave and crabwood. Another reason for the diversity (as with all of Costa Rica) is that it lies on a north-south corridor for flora and fauna; part of the ""land bridge"" and wildlife corridor that links the large continents of North America and South America. Waters of the park are calm and rich in biodiversity. Cano Island Biological Reserve is one of featured reserves along the coasts. These coasts, such as at Drake Bay, are wintering and breeding grounds for the humpback whales that come each winter. Ballena National Marine Park is specially designed for this species. Other baleen whales also migrate through the area such as Bryde's whale. Dolphins such as spinner and rough-toothed, and smaller cetaceans such as false killer whales and killer whales are seasonal residents/migrants to these areas. Whale watchings for these species are also available. Manatees have been hunted historically in Costa Rica, resulting in today's small numbers left. These gentle mammals can be observed occasionally at areas like Manzanillo Beach, Talamanca, and Limon.",Corcovado National Park Costa Rica
222,"There are currently 26 National Parks of Costa Rica, which are managed under the umbrella of SINAC (Sistema Nacional de Areas de Conservacion), a department of Costa Rica's Ministry of Environment and Energy (MINAE). All told, Costa Rica's protected areas encompass more than 25% of the country's total landmass. Many of these protected areas are national parks. Costa Rica's progressive policies on environmental protection and sustainable ecotourism in the National Parks System have been lauded as a model for other countries. The rainforests, tropical forests, marine areas and wetlands of Costa Rica are the subject of many university and scientific organization studies. The enrichment of the world's knowledge of these important habitats is an invaluable contribution from the National Parks System of Costa Rica. The Cordillera de Talamanca is home to an impressive collection of national parks and other preserved areas, including the La Amistad International Park, which extends into Panam. On the southern Osa Peninsula is the internationally renowned Corcovado National Park, which preserves a remnant of sizeable lowland tropical rainforest that is unique in the world. Manuel Antonio National Park was listed by Forbes in 2011 among the world's 12 most beautiful national parks.",Manuel Antonio National Park Costa Rica
223,"Monteverde, Costa Rica is a small community in Puntarenas, Costa Rica, located in the Cordillera de Tilarn. Roughly a four-hour drive from the Central Valley, Monteverde is considered a major ecotourism destination in Costa Rica. The area is host to the Monteverde Cloud Forest Reserve and numerous other reserves, which draw considerable numbers of tourists and naturalists. National Geographic has called the Monteverde Cloud Forest Biological Reserve ""the jewel in the crown of cloud forest reserves"". Newsweek has declared Monteverde the world's #14 Place to Remember Before it Disappears."" By popular vote in Costa Rica, Monteverde was enshrined as one of the Seven Natural Wonders of Costa Rica, along with Isla del Coco, Volcn Arenal, Cerro Chirrip, Ro Celeste, Tortuguero, and Volcn Pos. This article deals with Monteverde and its surrounding zone. This includes the larger town and tourism hub Santa Elena, as well as the nearby cluster of homes and businesses known as Cerro Plano, along with numerous reserves and attractions on the periphery of the town.",Monteverde Cloud Forest Costa Rica
224,"Diocletian's Palace (Croatian: Dioklecijanova palaa, pronounced [dikltsijna plata]) is an ancient palace built by the Roman Emperor Diocletian at the turn of the fourth century AD, that today forms about half the old town and city center of Split, in Croatia. While it is referred to as a ""palace"" because of its intended use as the retirement residence of Diocletian, the term can be misleading as the structure is massive and more resembles a large fortress: about half of it was for Diocletian's personal use, and the rest housed the military garrison. Diocletian built the massive palace in preparation for his retirement on 1 May 305 AD. It lies in a bay on the south side of a short peninsula running out from the Dalmatian coast, four miles from Salona, the capital of the Roman province of Dalmatia. The terrain slopes gently seaward and is typical karst, consisting of low limestone ridges running east to west with marl in the clefts between them.",Diocletian Palace Croatia
225,"Dubrovnik ([dbronik]; also known by other names) is a Croatian city on the Adriatic Sea, in the region of Dalmatia. It is one of the most prominent tourist destinations in the Mediterranean Sea, a seaport and the centre of Dubrovnik-Neretva County. Its total population is 42,615 (census 2011). In 1979, the city of Dubrovnik joined the UNESCO list of World Heritage Sites. The prosperity of the city was historically based on maritime trade; as the capital of the maritime Republic of Ragusa, it achieved a high level of development, particularly during the 15th and 16th centuries, as it became notable for its wealth and skilled diplomacy. The beginning of modern tourism is associated with the construction of the Hotel Imperial in Dubrovnik in 1897. Although it was demilitarised in the 1970s to protect it from war, in 1991, after the breakup of Yugoslavia, it was besieged by the Serb and Montenegrin soldiers gathered in the Yugoslav People's Army (JNA) for seven months and suffered significant damage from shelling.",Dubrovnik Old Town Croatia
226,"Hvar (pronounced [xvr]; local Chakavian dialect: Hvor or For, Greek: Pharos, , Latin: Pharia, Italian: Lesina) is a Croatian island in the Adriatic Sea, located off the Dalmatian coast, lying between the islands of Bra, Vis and Korula. Approximately 68 km (42.25 mi) long, with a high east-west ridge of Mesozoic limestone and dolomite, the island of Hvar is unusual in the area for having a large fertile coastal plain, and fresh water springs. Its hillsides are covered in pine forests, with vineyards, olive groves, fruit orchards and lavender fields in the agricultural areas. The climate is characterized by mild winters, and warm summers with many hours of sunshine. The island has 11,103 residents, making it the 4th most populated of the Croatian islands. Hvars location at the center of the Adriatic sailing routes has long made this island an important base for commanding trade up and down the Adriatic, across to Italy and throughout the wider Mediterranean. It has been inhabited since pre-historic times, originally by a Neolithic people whose distinctive pottery gave rise to the term Hvar culture, and later by the Illyrians. The ancient Greeks founded the colony of Pharos in 384 BC on the site of todays Stari Grad, making it one of the oldest towns in Europe. They were also responsible for setting out the agricultural field divisions of the Stari Grad Plain, now a UNESCO World Heritage Site. In medieval times, Hvar (city) rose to importance within the Venetian Empire as a major naval base. Prosperity brought culture and the arts, with one of the first public theatres in Europe, nobles palaces and many fine communal buildings. The 16th century was an unsettled time, with the Hvar Rebellion, coastal raids by pirates and the Ottoman army from the mainland, resulting in some unusual fortified buildings on the northern shore to protect the local population. After a brief time under Napoleonic rule, the island became part of the Austrian Empire, a more peaceful and prosperous time. On the coast, harbours were expanded, quays built, fishing and boat building businesses grew. At the same time, the islands wine exports increased, along with lavender and rosemary production for the French perfume industry. Unfortunately, this prosperity did not continue into the 20th century as wooden sailing boats went out of fashion, and the phylloxera blight hit wine production. Many islanders left to make a new life elsewhere.  One industry, however, has continued to grow and is now a significant contributor to the islands economy. The formation of The Hygienic Association of Hvar in 1868 for the assistance of visitors to the island has been instrumental in developing an infrastructure of hotels, apartments, restaurants, marinas, museums, galleries and cafes. Today, the island of Hvar is a popular destination for tourists, consistently listed in the top 10 islands by Conde Nast Traveler magazine.",Hvar Old Town Croatia
227,"Plitvice Lakes National Park (Croatian: Nacionalni park Plitvička jezera, colloquial Plitvice, pronounced [plîtʋitse]) is one of the oldest national parks in Southeast Europe and the largest national park in Croatia. In 1979, Plitvice Lakes National Park was added to the UNESCO World Heritage register. The national park was founded in 1949 and is situated in the mountainous karst area of central Croatia, at the border to Bosnia and Herzegovina. The important north-south road connection, which passes through the national park area, connects the Croatian inland with the Adriatic coastal region. The protected area extends over 296.85 square kilometres (73,350 acres). About 90% of this area is part of Lika-Senj County, while the remaining 10% is part of Karlovac County. Each year, more than 1 million visitors are recorded. Entrance is subject to variable charges, up to 180 kuna or around €24 per adult in peak season.",Plitvice Lakes Croatia
228,"Trogir (Latin: Tragurium; Italian: Tra; Ancient Greek: , Tragyrion or , Tragourion Trogkir) is a historic town and harbour on the Adriatic coast in Split-Dalmatia County, Croatia, with a population of 10,818 (2011) and a total municipality population of 13,260 (2011). The historic city of Trogir is situated on a small island between the Croatian mainland and the island of iovo. It lies 27 kilometres (17 miles) west of the city of Split. Since 1997, the historic centre of Trogir has been included in the UNESCO list of World Heritage Sites.",Trogir Old Town Croatia
229,"Old Havana (Spanish: La Habana Vieja) is the city-center (downtown) and one of the 15 municipalities (or boroughs) forming Havana, Cuba. It has the second highest population density in the city and contains the core of the original city of Havana. The positions of the original Havana city walls are the modern boundaries of Old Havana. Old Havana is a UNESCO World Heritage Site.",Old Havana Cuba
230,"The Castillo de San Pedro de la Roca (also known by the less formal title of Castillo del Morro or as San Pedro de la Roca Castle) is a fortress on the coast of the Cuban city of Santiago de Cuba. About 6 miles (10 km) southwest of the city centre, it overlooks the bay.",San Pedro Rock Castle Cuba
231,"Paphos /pfs/ (Greek:  [pafos]; Turkish: Bafo) is a coastal city in the southwest of Cyprus and the capital of Paphos District. In antiquity, two locations were called Paphos: Old Paphos and New Paphos. The currently inhabited city, New Paphos, lies on the Mediterranean coast, about 50 km (31.07 mi) west of Limassol (the biggest port on the island), which has an A6 highway connection. Paphos International Airport is the country's second-largest airport. Near Palaepaphos (Old Paphos) at the seaside of Petra tou Romiou is the modern mythical birthplace of Aphrodite, the Greek goddess of love and beauty, and the founding myth is interwoven with the goddess at every level, so that Old Paphos became the most famous and important place for worshipping Aphrodite in the ancient world. In Greco-Roman times, Paphos was the island's capital, and it is well known for the remains of the Roman governor's palace, where extensive, fine mosaics are a major tourist attraction. Paul the Apostle visited the town during the first century AD. The town of Paphos is included in the official UNESCO list of cultural and natural treasures of the world's heritage.  Paphos enjoys a subtropical-Mediterranean climate, with the mildest temperatures on the island. Paphos has been selected as a European Capital of Culture for 2017, along with Aarhus.",Paphos Archaeological Site Cyprus
232,"Český Krumlov (Czech pronunciation: [ˈtʃɛskiː ˈkrumlof] ( listen); German: Krummau an der Moldau or Böhmisch Krummau; Krumau; English: Crumlaw, sometimes translated as Czech Crumlaw, is a small city in the South Bohemian Region of the Czech Republic where Český Krumlov Castle is located. Old Český Krumlov is a UNESCO World Heritage Site and was given this status along with the historic Prague castle district. The city is named Český Krumlov (""Bohemian Crumlaw"") to differentiate it from Moravský Krumlov in South Moravia.",Cesky Krumlov Czech Republic
233,"The Charles Bridge (Czech: Karlv most [karluf most]) is an historic bridge that crosses the Vltava river in Prague, Czech Republic. Its construction started in 1357 under the auspices of King Charles IV, and finished in the beginning of the 15th century. The bridge replaced the old Judith Bridge built 11581172 that had been badly damaged by a flood in 1342. This new bridge was originally called the Stone Bridge (Kamenn most) or the Prague Bridge (Prask most) but has been the ""Charles Bridge"" since 1870. As the only means of crossing the river Vltava (Moldau) until 1841, the Charles Bridge was the most important connection between Prague Castle and the city's Old Town and adjacent areas. This ""solid-land"" connection made Prague important as a trade route between Eastern and Western Europe. The bridge is 621 metres (2,037 ft) long and nearly 10 metres (33 ft) wide, following the example of the Stone Bridge in Regensburg, it was built as a bow bridge with 16 arches shielded by ice guards. It is protected by three bridge towers, two of them on the Lesser Quarter side and the third one on the Old Town side. The Old Town bridge tower is often considered to be one of the most astonishing civil gothic-style buildings in the world. The bridge is decorated by a continuous alley of 30 statues and statuaries, most of them baroque-style, originally erected around 1700 but now all replaced by replicas.",Charles Bridge Czech Republic
234,"1. FC Karlovy Vary is a football club located in Karlovy Vary, Czech Republic. It currently plays in Divize A of the Czech Fourth Division.",Karlovy Vary Czech Republic
235,Kutn Hora District (Okres Kutn Hora in Czech) is a district (okres) within Central Bohemian Region (Stedoesk kraj) of the Czech Republic. Its capital is city Kutn Hora.,Kutna Hora Czech Republic
236,"There are number of spa towns in the Czech Republic. Between the oldest and most visited are the spas of Karlovy Vary, Marinsk Lzn, Frantikovy Lzn, Luhaovice and Podbrady. In 2011 the Czech spas were visited by around 700,000 guests, of whom around half were foreigners, mainly from Germany, Russia and Austria. List of spa towns: Blina Lzn Bludov Frantikovy Lzn (German: Franzensbad) Hodonn Jchymov Jesenk Karlova Studnka Karlovy Vary (German: Carlsbad) Karvin Klimkovice Lzn Blohrad Lzn Bohdane Lipov-lzn Luhaovice Marinsk Lzn (German: Marienbad) Podbrady Teplice Teplice nad Bevou Tebo Velk Losiny",Marienbad Czech Republic
237,"Olomouc (Czech: [olomouts]; locally Holomc or Olomc; German: Olmtz; Latin: Olomucium or Iuliomontium; Polish: Oomuniec [wmuts]) is a city in Moravia, in the east of the Czech Republic. Located on the Morava River, the city is the ecclesiastical metropolis and historical capital city of Moravia. Today it is an administrative centre of the Olomouc Region and sixth largest city in the Czech Republic. The city has about 100 154 residents, and its larger urban zone has a population of about 480,000 people.",Olomouc Czech Republic
238,"Prague (/pr/; Czech: Praha, [praa], German: Prag) is the capital and largest city of the Czech Republic. It is the 15th largest city in the European Union. It is also the historical capital of Bohemia. Situated in the north-west of the country on the Vltava river, the city is home to about 1.26 million people, while its larger urban zone is estimated to have a population of nearly 2 million. The city has a temperate climate, with warm summers and chilly winters. Prague has been a political, cultural, and economic centre of central Europe with waxing and waning fortunes during its history. Founded during the Romanesque and flourishing by the Gothic, Renaissance and Baroque eras, Prague was the capital of the kingdom of Bohemia and the main residence of several Holy Roman Emperors, most notably of Charles IV (r. 13461378). It was an important city to the Habsburg Monarchy and its Austro-Hungarian Empire. The city played major roles in the Bohemian and Protestant Reformation, the Thirty Years' War, and in 20th-century history as the capital of Czechoslovakia, during both World Wars and the post-war Communist era. Prague is home to a number of famous cultural attractions, many of which survived the violence and destruction of 20th-century Europe. Main attractions include the Prague Castle, the Charles Bridge, Old Town Square with the Prague astronomical clock, the Jewish Quarter, Petn hill and Vyehrad. Since 1992, the extensive historic centre of Prague has been included in the UNESCO list of World Heritage Sites. The city boasts more than ten major museums, along with numerous theatres, galleries, cinemas, and other historical exhibits. An extensive modern public transportation system connects the city. Also, it is home to a wide range of public and private schools, including Charles University in Prague, the oldest university in Central Europe. Prague is classified as an ""Alpha-"" global city according to GaWC studies. Prague ranked sixth in the Tripadvisor world list of best destinations in 2016. Its rich history makes it a popular tourist destination, and the city receives more than 6.4 million international visitors annually, as of 2014. Prague is the fifth most visited European city after London, Paris, Istanbul and Rome.",Prague Castle Czech Republic
239,"See other places named Star Msto (disambiguation).  The Old Town of Prague (Czech: Star Msto prask) is a medieval settlement of Prague, Czech Republic. It was separated from the outside by a semi-circular moat and wall, connected to the Vltava river at both of its ends. The moat is now covered up by the streets (from north to south-west) Revolun, Na Pkop, and Nrodnwhich remain the official boundary of the cadastral community of Old Town. It is now part of Prague 1. Notable places in the Old Town include the Old New Synagogue, Old Town Square and Astronomical Clock. The Old Town is surrounded by the New Town of Prague. Across the river Vltava connected by the Charles Bridge is the Lesser Town of Prague (Czech: Mal Strana). The former Jewish Town (Josefov) is located in the northwest corner of Old Town heading towards the Vltava.",Prague Old Town Czech Republic
240,"Danmarks gamle Folkeviser is a collection of (in principle) all known texts and recordings of the old Danish popular ballads. It drew both on early modern manuscripts, such as Karen Brahes Folio, and much more recent folk-song collecting activity. It was started in 1853 by Svend Grundtvig. During the nineteenth century, Axel Olrik was also heavily involved, editing volumes 6-8. The work was continued in the twentieth century by new generations of folklorists, and in 1976 comprised 12 volumes, containing 539 ballad types, often with many variants of each type. Grundtvig's division of the ballad types into categories has mostly been adopted in later ballad collections, e.g. by F. J. Child, and by modern researchers in the field. However, many of the ballads he classed as 'historic' now have been reclassified. Grundtvig's classifications were: Kmpeviser (heroic songs) (vol. 1) Trylleviser (magical songs) (vol. 2) Historiske viser (historical songs) (vol. 3) Ridderviser (romances) (vols 4-5) Danske ridderviser (Danish romances) (vols 6-9) It is now standard practice to refer to the Danish ballad type by its assigned a DgF number. Variants (or variant groups) are indicated by an alphabet following the DgF number. Thus ""Tord af Havsgaard"" (DgF 1A) for the version taken down from manuscripts, and DgF 1B for the version printed in Vedel's book. Also it is commonplace to refer to ballad titles by Grundtvig's normalized orthography rather than actual spellings occurring in the texts. Many of the ballads are Danish examples from a family of cognate ballads disseminated throughout Scandinavia. The TSB or The Types of the Scandinavian Medieval Ballad sigla are used to catalog the pan-Scandinavian cognate type to which a ballad may belong. Some of the ballads have cognates in English, and have been cross-referenced against Child Ballad by Syndergaard. English translations of a number of Danish ballads can be found in R. C. Alexander Prior, Ancient Danish Ballads in 3 vols. (1860); George Borrow, Works; E. M. Smith-Dampier's various publications.",Den Gamle By Denmark
241,"Egeskov Castle (Danish: Egeskov Slot) is located in the south of the island of Funen, Denmark. The castle is Europe's best preserved Renaissance water castle.  ",Egeskov Castle Denmark
242,"Frederiksborg Castle (Danish: Frederiksborg Slot) is a palatial complex in Hillerd, Denmark. It was built as a royal residence for King Christian IV of Denmark-Norway in the early 17th century, replacing an older castle acquired by Frederick II and becoming the largest Renaissance residence in Scandinavia. Situated on three islets in the Slotssen (castle lake), it is adjoined by a large formal garden in the Baroque style. After a serious fire in 1859, the castle was rebuilt on the basis of old plans and paintings. Thanks to public support and the brewer J. C. Jacobsen, the building and its apartments were fully restored by 1882 when it was reopened to the public as the Danish Museum of National History. Open throughout the year, the museum contains the largest collection of portrait paintings in Denmark. It also provides visitors with an opportunity to visit several of the castle's state rooms including the restored Valdemar Room and Great Hall as well as the Chapel and the Audience Chamber which were both largely spared by the fire and contain sumptuous decorations.",Frederiksborg Castle Denmark
243,"The Little Mermaid (Danish: Den lille Havfrue) is a bronze statue by Edvard Eriksen, depicting a mermaid. The sculpture is displayed on a rock by the waterside at the Langelinie promenade in Copenhagen, Denmark. It is 1.25 metres (4.1 ft) tall and weighs 175 kilograms (385 lb). Based on the fairy tale of the same name by Danish author Hans Christian Andersen, the small and unimposing statue is a Copenhagen icon and has been a major tourist attraction since 1913. In recent decades it has become a popular target for defacement by vandals and political activists. Mermaid is among iconic statues that symbolize cities; others include: Manneken Pis in Brussels, the Statue of Liberty in New York and Christ the Redeemer in Rio de Janeiro. In several cases, cities have commissioned statues for such a purpose, such as with Singapore's Merlion.",Little Mermaid Statue Denmark
244,"Mns Klint (English: the Cliffs of Mn) are a 6 km stretch of chalk cliffs along the eastern coast of the Danish island of Mn in the Baltic Sea. Some of the cliffs fall a sheer 120 m to the sea below. The area around Mns Klint consists of woodlands, pastures, ponds and steep hills, including Aborrebjerg which, with a height of 143 m, is one of the highest points in Denmark. The cliffs and adjacent park are now protected as a nature reserve. Mns Klint receives around 250,000 visitors a year. There are clearly marked paths for walkers, riders and cyclists. The path along the cliff tops leads to steps down to the shore in several locations. On 29 May 2007, close to the cliff tops, the GeoCenter Mns Klint was opened by Queen Margrethe. The geological museum with interactive computer displays and a variety of attractions for children traces the geological prehistory of Denmark and the formation of the chalk cliffs. The museum was designed by PLH Architects, the winners of an international design competition.",Mons Klint Denmark
245,"Nyhavn (Danish pronunciation: [nyhn]; New Harbour) is a 17th-century waterfront, canal and entertainment district in Copenhagen, Denmark. Stretching from Kongens Nytorv to the harbour front just south of the Royal Playhouse, it is lined by brightly coloured 17th and early 18th century townhouses and bars, cafes and restaurants. The canal harbours many historical wooden ships.",Nyhavn Denmark
246,"Tivoli Gardens (or simply Tivoli) is a famous amusement park and pleasure garden in Copenhagen, Denmark. The park opened on 15 August 1843 and is the second-oldest operating amusement park in the world, after Dyrehavsbakken in nearby Klampenborg, also in Denmark. With 4.733 million visitors in 2015, Tivoli is the second-most popular seasonal theme park in the world, the most-visited theme park in Scandinavia and the fourth most-visited in Europe, only behind Disneyland Paris, Europa-Park Rust and the Efteling.",Tivoli Gardens Denmark
247,"The Galpagos Islands (official name: Archipilago de Coln, other Spanish name: Islas Galpagos, Spanish pronunciation: [izlaz alapaos]) are an archipelago of volcanic islands distributed on either side of the Equator in the Pacific Ocean surrounding the centre of the Western Hemisphere, 906 km (563 mi) west of continental Ecuador, of which they are a part. The Galpagos Islands and their surrounding waters form the Galpagos Province of Ecuador, the Galpagos National Park, and the Galpagos Marine Reserve. The principal language on the islands is Spanish. The islands have a population of slightly over 25,000. The islands are famed for their vast number of endemic species and were studied by Charles Darwin during the voyage of the Beagle. His observations and collections contributed to the inception of Darwin's theory of evolution by natural selection. The first recorded visit to the islands happened by chance in 1535, when Fray Toms de Berlanga, the Bishop of Panam, was blown off course during a voyage to Peru to arbitrate in a dispute between Francisco Pizarro and Diego de Almagro. De Berlanga eventually returned to the Spanish Empire and described the conditions of the islands and the animals that inhabited them. The group of islands was shown and named in Abraham Ortelius's atlas published in 1570. The first crude map of the islands was made in 1684 by the buccaneer Ambrose Cowley, who named the individual islands after some of his fellow pirates or after British royalty and noblemen. These names were used in the authoritative navigation charts of the islands prepared during the Beagle survey under captain Robert Fitzroy, and in Darwin's popular book The Voyage of the Beagle. The new Republic of Ecuador took the islands from Spanish ownership in 1832, and subsequently gave them official Spanish names. The older names remained in use in English language publications, including Herman Melville's The Encantadas of 1854.",Galapagos Islands Ecuador
248,"The Church of the Society of Jesus (Spanish: La Iglesia de la Compaa de Jess), known colloquially as la Compaa, is a Jesuit church in Quito, Ecuador. It is among the best-known churches in Quito because of its large central nave, which is profusely decorated with gold leaf, gilded plaster and wood carvings. Inspired by two Roman Jesuit churches  the Chiesa del Ges (1580) and the Chiesa di Sant'Ignazio di Loyola (1650)  la Compaa is one of the most significant works of Spanish Baroque architecture in South America. It is Quito's most ornate church and (according to some observers) the country's most beautiful.",La Compania Church Ecuador
249,"Indigenous peoples in Ecuador, or Native Ecuadorians, are the groups of people who were present in what became Ecuador when Europeans arrived. The term also includes their descendants from the time of the Spanish conquest to the present. Their history, which encompasses the last 11,000 years, reaches into the present; 7 percent of Ecuador's population is of indigenous heritage, while another 72 percent is of mixed indigenous and European heritage. Afro-Ecuadorian, people of Spanish descent, and others make up the remaining 20 percent.",Oriente Province Native Villages Ecuador
250,"Otavalo, capital of Otavalo Canton, is a largely indigenous town in the Imbabura Province of Ecuador. The town has about 90,000 inhabitants  and is surrounded by the peaks of Imbabura (4,630 metres (15,190 ft)), Cotacachi (4,995 metres (16,388 ft)), and Mojanda volcanoes. Gustavo Pareja is the current mayor of Otavalo. He was elected in February 2014.",Otavalo Market Ecuador
251,"The Abu Simbel temples are two massive rock temples at Abu Simbel (  in Arabic), a village in Nubia, southern Egypt, near the border with Sudan. They are situated on the western bank of Lake Nasser, about 230 km southwest of Aswan (about 300 km by road). The complex is part of the UNESCO World Heritage Site known as the ""Nubian Monuments,"" which run from Abu Simbel downriver to Philae (near Aswan). The twin temples were originally carved out of the mountainside during the reign of Pharaoh Ramesses II in the 13th century BC, as a lasting monument to himself and his queen Nefertari, to commemorate his victory at the Battle of Kadesh. Their huge external rock relief figures have become iconic. The complex was relocated in its entirety in 1968, on an artificial hill made from a domed structure, high above the Aswan High Dam reservoir. The relocation of the temples was necessary to prevent their being submerged during the creation of Lake Nasser, the massive artificial water reservoir formed after the building of the Aswan High Dam on the Nile River.",Abu Simbel Egypt
252,"The Saladin Citadel of Cairo (Arabic:    Qalaat Sal ad-Dn) is a medieval Islamic fortification in Cairo, Egypt. The location, on Mokattam hill near the center of Cairo, was once famous for its fresh breeze and grand views of the city. It is now a preserved historic site, with mosques and museums.",Citadel of Saladin Egypt
253,"The City of the Dead, or Cairo Necropolis (Qarafa, el-Arafa), is an Islamic necropolis and cemetery below the Mokattam Hills in southeastern Cairo, Egypt. The people of Cairo, the Cairenes, and most Egyptians, call it el'arafa (trans. 'the cemetery'). It is a 4 miles (6.4 km) long (north-south) dense grid of tomb and mausoleum structures, where some people live and work amongst the dead. Some reside here to be near ancestors, of recent to ancient lineage. Some live here after being forced from central Cairo due to urban renewal demolitions and urbanization pressures, that increased from the Gamal Abdel Nasser era in the 1950s and forward. Other residents immigrated in from the agricultural countryside, looking for work  an example of rural to urban migration in an LEDC (least economically developed country). The poorest live in the City of the Dead slum, and Manshiyat Naser, which is also known as Garbage City, a center of recycling and reuse Zabbaleen vendors.",City of the Dead Egypt
254,"The Colossi of Memnon (Arabic: el-Colossat or es-Salamat) are two massive stone statues of the Pharaoh Amenhotep III, who reigned in Egypt during Dynasty XVIII. For the past 3,400 years (since 1350 BC), they have stood in the Theban Necropolis, located west of the River Nile from the modern city of Luxor.",Colossi of Memnon Egypt
255,"The Statue of Ramesses II is a 3,200-year-old figure of Ramesses II, depicting him standing, that was discovered in 1820 by Giovanni Battista Caviglia at the Great Temple of Ptah near Memphis, Egypt. It is made from red granite.  The statue was found broken in six pieces and earlier attempts at restoration failed. In 1955, Egyptian Prime Minister Gamal Abdel Nasser moved the statue to the large Bab Al-Hadid square in Cairo that was then renamed Ramses Square. There the statue was restored to its full height of 11 metres and erected on a three metre pedestal at the edge of a fountain. It was stabilized by iron bars inside the body. Over time Ramses Square turned out to be an unsuitable location, as the statue continued to be exposed to noise, pollution, and vibration from traffic and subways. The Egyptian government therefore decided to relocate the statue to a safer and more dignified location. At a temporary location on the Giza Plateau it will undergo restoration. The eventual resting place of the statue of Ramesses II will be the Grand Egyptian Museum (GEM) that is under construction. It is planned that the statue will greet visitors at the entrance to the GEM that is scheduled to open in 2018. The transport of the statue from Ramses Square to Giza was a technological challenge that had been in the planning since 2002. The statue weighs about 83 tons. A replica had been made and was transported several weeks before the scheduled actual move along the planned route to Giza to test the proposed relocation process. The move took place on August 25, 2006. During its ten-hour transport the statue was wrapped and covered in rubber foam. Two flat-back trucks carried the weight of the statue and its support structures as it travelled in a vertical position. The move has been criticized for its costs and the concern about pollution in the Giza location.",Colossus of Ramesses II Egypt
